task,strategy,compression_rate,mean_accuracy,std,ci_lower,ci_upper,n_seeds,n_examples,high_variance
alc,entity_preserving,0.0,0.99,0.0,nan,nan,5,1000,False
alc,entity_preserving,0.1,0.982,0.0196,0.9577,1.0063,5,1000,False
alc,entity_preserving,0.2,0.995,0.0061,0.9874,1.0026,5,1000,False
alc,entity_preserving,0.3,0.982,0.0268,0.9487,1.0153,5,1000,False
alc,entity_preserving,0.4,0.931,0.1377,0.76,1.102,5,1000,True
alc,entity_preserving,0.5,0.727,0.1053,0.5963,0.8577,5,1000,True
alc,entity_preserving,0.6,0.647,0.0753,0.5535,0.7405,5,1000,True
alc,entity_preserving,0.7,0.467,0.0938,0.3505,0.5835,5,1000,True
alc,entity_preserving,0.8,0.37,0.0,nan,nan,5,1000,False
alc,entity_preserving,0.9,0.37,0.0,nan,nan,5,1000,False
alc,llm_guided,0.0,0.99,0.0,0.975,1.0,1,200,False
alc,llm_guided,0.1,0.985,0.0,0.965,1.0,1,200,False
alc,llm_guided,0.2,0.98,0.0,0.96,0.995,1,200,False
alc,llm_guided,0.3,0.985,0.0,0.965,1.0,1,200,False
alc,llm_guided,0.4,0.985,0.0,0.965,1.0,1,200,False
alc,llm_guided,0.5,0.985,0.0,0.965,1.0,1,200,False
alc,llm_guided,0.6,0.985,0.0,0.965,1.0,1,200,False
alc,llm_guided,0.7,0.98,0.0,0.96,0.995,1,200,False
alc,llm_guided,0.8,0.98,0.0,0.96,0.995,1,200,False
alc,llm_guided,0.9,0.98,0.0,0.96,0.995,1,200,False
alc,random_dropout,0.0,0.99,0.0,nan,nan,5,1000,False
alc,random_dropout,0.1,0.982,0.0057,0.9749,0.9891,5,1000,False
alc,random_dropout,0.2,0.986,0.0119,0.9712,1.0008,5,1000,False
alc,random_dropout,0.3,0.905,0.1957,0.662,1.148,5,1000,True
alc,random_dropout,0.4,0.746,0.2762,0.4031,1.0889,5,1000,True
alc,random_dropout,0.5,0.657,0.2197,0.3842,0.9298,5,1000,True
alc,random_dropout,0.6,0.478,0.2332,0.1884,0.7676,5,1000,True
alc,random_dropout,0.7,0.441,0.2809,0.0923,0.7897,5,1000,True
alc,random_dropout,0.8,0.206,0.2733,-0.1333,0.5453,5,1000,True
alc,random_dropout,0.9,0.077,0.1079,-0.057,0.211,5,1000,True
alc,stopword_removal,0.0,0.99,0.0,nan,nan,5,1000,False
alc,stopword_removal,0.1,0.986,0.0055,0.9792,0.9928,5,1000,False
alc,stopword_removal,0.2,0.983,0.0027,0.9796,0.9864,5,1000,False
alc,stopword_removal,0.3,0.981,0.0022,0.9782,0.9838,5,1000,False
alc,stopword_removal,0.4,0.98,0.0,0.98,0.98,5,1000,False
